Country,Year-Month,Energy Price Index,Headline Consumer Price Index
Afghanistan,2020-01,,154.191402283825
Afghanistan,2020-02,,153.366469401361
Afghanistan,2020-03,,153.676014224365
Afghanistan,2020-04,,
Afghanistan,2020-05,,
Afghanistan,2020-06,,
Afghanistan,2020-07,,
Afghanistan,2020-08,,
Afghanistan,2020-09,,
Afghanistan,2020-10,,
Afghanistan,2020-11,,
Afghanistan,2020-12,,
Afghanistan,2021-01,,
Afghanistan,2021-02,,
Afghanistan,2021-03,,
Afghanistan,2021-04,,
Afghanistan,2021-05,,
Afghanistan,2021-06,,
Afghanistan,2021-07,,
Afghanistan,2021-08,,
Afghanistan,2021-09,,
Afghanistan,2021-10,,
Afghanistan,2021-11,,
Afghanistan,2021-12,,
Afghanistan,2022-01,,
Afghanistan,2022-02,,
Afghanistan,2022-03,,
Afghanistan,2022-04,,
Afghanistan,2022-05,,
Afghanistan,2022-06,,
Afghanistan,2022-07,,
Afghanistan,2022-08,,
Afghanistan,2022-09,,
Afghanistan,2022-10,,
Afghanistan,2022-11,,
Afghanistan,2022-12,,
Afghanistan,2023-01,,
Afghanistan,2023-02,,
Afghanistan,2023-03,,
Afghanistan,2023-04,,
Afghanistan,2023-05,,
Afghanistan,2023-06,,
Afghanistan,2023-07,,
Albania,2020-01,106.4,121.53445727989
Albania,2020-02,106.19,121.976238649654
Albania,2020-03,104.38,122.664309534532
Albania,2020-04,102.84,122.144876190434
Albania,2020-05,102.25,121.118645354843
Albania,2020-06,101.6,120.425607093214
Albania,2020-07,101.45,119.799133927942
Albania,2020-08,101.77,120.070733274906
Albania,2020-09,101.93,120.516699924704
Albania,2020-10,101.7,120.810233370233
Albania,2020-11,101.47,120.172945933302
Albania,2020-12,101.63,120.513062042837
Albania,2021-01,101.65,122.026037083294
Albania,2021-02,102.49,123.367482972198
Albania,2021-03,102.6,124.182445588027
Albania,2021-04,102.66,124.481851321999
Albania,2021-05,103.77,123.346424614839
Albania,2021-06,103.91,122.348487766821
Albania,2021-07,105.76,122.483683299208
Albania,2021-08,106.08,122.936198284147
Albania,2021-09,106.39,123.545979497988
Albania,2021-10,109.08,123.730587697427
Albania,2021-11,110.73,123.942414274087
Albania,2021-12,111.32,124.992352168806
Albania,2022-01,111.72,126.578495401943
Albania,2022-02,113.16,128.192329642979
Albania,2022-03,120.49,131.232129954707
Albania,2022-04,122.39,132.181542871221
Albania,2022-05,123.03,131.571193742109
Albania,2022-06,126.41,131.379352204685
Albania,2022-07,122.54,131.669627858838
Albania,2022-08,122.7,132.725289648971
Albania,2022-09,122.18,133.536312660175
Albania,2022-10,124.05,134.021705865521
Albania,2022-11,119.73,133.675088324318
Albania,2022-12,117.15,134.246949657545
Albania,2023-01,117.64,135.725577642192
Albania,2023-02,115.23,137.237080994351
Albania,2023-03,114.19,138.197583320886
Albania,2023-04,,
Albania,2023-05,,
Albania,2023-06,,
Albania,2023-07,,
Algeria,2020-01,162.98,152.433384717023
Algeria,2020-02,164.41,151.545180943992
Algeria,2020-03,164.52,153.424355868751
Algeria,2020-04,164.52,153.857446964692
Algeria,2020-05,164.52,155.34757395581
Algeria,2020-06,164.34,155.597151875505
Algeria,2020-07,164.34,153.894149599941
Algeria,2020-08,164.34,154.070322249137
Algeria,2020-09,164.53,155.817367687
Algeria,2020-10,164.53,158.430595316744
Algeria,2020-11,164.55,157.813991044557
Algeria,2020-12,165.15,157.975482639654
Algeria,2021-01,165.15,158.885707993834
Algeria,2021-02,165.9,159.55369595537
Algeria,2021-03,166.35,162.431182558908
Algeria,2021-04,166.35,164.897599647655
Algeria,2021-05,166.35,164.714086471409
Algeria,2021-06,166.79,163.950671658225
Algeria,2021-07,166.79,165.11781545915
Algeria,2021-08,166.79,167.466784115099
Algeria,2021-09,167.54,170.806723922778
Algeria,2021-10,167.54,172.935476767232
Algeria,2021-11,167.82,172.487704617192
Algeria,2021-12,168.42,171.379285032665
Algeria,2022-01,168.42,173.236438376275
Algeria,2022-02,169.39,174.234750055054
Algeria,2022-03,170.15,177.545327754533
Algeria,2022-04,170.15,181.37708287455
Algeria,2022-05,170.15,180.415473831021
Algeria,2022-06,170.98,181.692725537694
Algeria,2022-07,170.98,180.606327534317
Algeria,2022-08,170.98,183.953607869045
Algeria,2022-09,172.05,185.57586434706
Algeria,2022-10,172.05,186.911840270131
Algeria,2022-11,172.05,186.581516552889
Algeria,2022-12,172.54,187.308228730823
Algeria,2023-01,172.54,189.370916831829
Algeria,2023-02,172.54,191.433604932834
Algeria,2023-03,,
Algeria,2023-04,,
Algeria,2023-05,,
Algeria,2023-06,,
Algeria,2023-07,,
Angola,2020-01,,418.845483529611
